,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
0,com.google.javascript.jscomp.PeepholeSimplifyRegExp,1,0,30,0,18,4,0,2,2,15.0,104,5.777777777777778
1,com.google.javascript.jscomp.MinimizeExitPoints,6,1,95,1,49,14,0,4,6,13.833333333333334,416,3.7142857142857144
2,com.google.javascript.jscomp.RenameLabels,10,9,58,1,15,3,0,1,9,10.2,428,9.511111111111111
3,com.google.javascript.jscomp.JsMessageExtractor,4,4,20,0,12,3,1,1,6,14.25,241,14.176470588235293
4,com.google.javascript.jscomp.Tracer,49,31,207,0,54,16,0,3,72,13.714285714285714,2135,8.54
5,com.google.javascript.jscomp.VerboseMessageFormatter,3,0,13,0,4,1,0,1,2,10.0,108,18.0
6,com.google.javascript.jscomp.DiagnosticType,9,5,16,2,1,0,0,1,12,6.777777777777778,243,27.0
7,com.google.javascript.jscomp.StrictModeCheck,12,13,107,1,20,7,0,3,12,11.75,220,2.1359223300970873
8,com.google.javascript.jscomp.JSModule,26,6,88,2,8,3,1,2,29,11.884615384615385,434,5.945205479452055
9,com.google.javascript.jscomp.JsMessageDefinition,3,3,3,0,1,0,0,1,3,16.333333333333332,213,71.0
10,com.google.javascript.jscomp.LiveVariablesAnalysis,16,5,104,0,54,11,0,8,6,12.5,364,3.872340425531915
11,com.google.javascript.jscomp.StatementFusion,6,0,53,0,16,4,0,7,2,23.833333333333332,161,3.425531914893617
12,com.google.javascript.jscomp.VariableVisibilityAnalysis,3,2,20,1,19,5,0,1,10,15.666666666666666,326,14.818181818181818
13,com.google.javascript.jscomp.FunctionRewriter,25,17,115,1,19,6,0,5,23,12.88,575,4.75206611570248
14,com.google.javascript.jscomp.CheckUnreachableCode,6,3,25,1,9,3,0,3,2,8.666666666666666,104,5.473684210526316
15,com.google.javascript.jscomp.DataFlowAnalysis,32,9,185,0,29,9,0,2,23,9.46875,1164,8.818181818181818
16,com.google.javascript.jscomp.RemoveUnusedVars,27,24,303,2,61,16,0,4,33,18.296296296296298,1001,2.997005988023952
17,com.google.javascript.jscomp.CollapseVariableDeclarations,6,7,69,1,23,7,0,3,10,12.333333333333334,313,4.742424242424242
18,com.google.javascript.jscomp.RemoveTryCatch,2,2,24,1,31,7,0,2,3,6.0,123,3.84375
19,com.google.javascript.jscomp.DiagnosticGroups,7,35,16,0,2,0,0,1,5,14.714285714285714,127,11.545454545454545
20,com.google.javascript.jscomp.ObjectPropertyStringPreprocess,3,6,52,1,27,6,0,6,2,10.666666666666666,139,4.088235294117647
21,com.google.javascript.jscomp.CheckSideEffects,7,7,60,1,24,8,0,4,4,9.142857142857142,167,3.2745098039215685
22,com.google.javascript.jscomp.FindExportableNodes,5,6,28,0,24,6,0,1,4,9.8,176,6.285714285714286
23,com.google.javascript.jscomp.PeepholeOptimizationsPass,15,8,48,1,13,4,0,2,4,9.4,147,2.161764705882353
24,com.google.javascript.jscomp.JvmMetrics,10,4,146,0,30,8,0,4,2,18.3,120,0.8888888888888888
25,com.google.javascript.jscomp.ByPathWarningsGuard,4,5,6,0,9,3,0,2,5,8.25,269,22.416666666666668
26,com.google.javascript.jscomp.DefaultPassConfig,154,121,573,0,170,51,0,3,128,8.194805194805195,1099,1.6114369501466275
27,com.google.javascript.jscomp.FunctionNames,8,13,26,2,13,3,0,2,2,12.0,167,5.566666666666666
28,com.google.javascript.jscomp.AbstractCommandLineRunner,101,69,514,0,68,19,2,9,95,18.08910891089109,2057,2.806275579809004
29,com.google.javascript.jscomp.ClosureCodeRemoval,4,11,40,1,22,6,0,0,16,5.75,321,7.642857142857143
30,com.google.javascript.jscomp.OptimizeReturns,6,1,56,2,22,7,0,6,5,9.833333333333334,220,4.150943396226415
31,com.google.javascript.jscomp.CheckRegExp,3,4,21,1,14,4,0,1,2,13.333333333333334,122,7.625
32,com.google.javascript.jscomp.ControlFlowAnalysis,43,13,399,2,54,14,0,19,29,13.348837209302326,1114,2.791979949874687
33,com.google.javascript.jscomp.NameReferenceGraphReport,9,1,114,0,35,6,0,4,12,18.11111111111111,539,6.056179775280899
34,com.google.javascript.jscomp.AnalyzePrototypeProperties,44,34,242,1,56,21,0,5,32,13.136363636363637,658,3.323232323232323
35,com.google.javascript.jscomp.PeepholeFoldConstants,35,8,481,0,97,26,0,39,22,17.457142857142856,474,0.713855421686747
36,com.google.javascript.jscomp.AbstractCompiler,54,2,54,1,1,0,0,1,53,16.90740740740741,973,194.6
37,com.google.javascript.jscomp.UseSite,2,3,3,0,1,0,0,1,2,7.0,121,60.5
38,com.google.javascript.jscomp.RescopeGlobalSymbols,8,6,97,1,23,7,0,6,6,10.5,411,5.074074074074074
39,com.google.javascript.jscomp.XtbMessageBundle,16,11,55,1,15,3,2,1,5,14.0,187,4.560975609756097
40,com.google.javascript.jscomp.CoalesceVariableNames,15,10,166,2,40,14,0,4,6,11.8,266,1.8472222222222223
41,com.google.javascript.jscomp.NameGenerator,4,7,19,0,16,4,0,2,8,13.0,244,6.256410256410256
42,com.google.javascript.jscomp.CheckPathsBetweenNodes,8,11,47,0,22,7,0,4,8,18.5,313,4.536231884057971
43,com.google.javascript.jscomp.MethodCompilerPass,11,5,89,1,24,4,0,1,12,12.454545454545455,272,4.0
44,com.google.javascript.jscomp.EmptyMessageBundle,3,0,4,1,1,0,0,1,5,11.666666666666666,127,42.333333333333336
45,com.google.javascript.jscomp.AnalyzeNameReferences,7,5,27,1,15,4,0,3,5,12.0,215,6.142857142857143
46,com.google.javascript.jscomp.RemoveUnusedClassProperties,5,4,54,2,16,4,0,3,3,11.6,154,3.347826086956522
47,com.google.javascript.jscomp.VarCheck,7,11,82,1,44,12,0,4,6,15.285714285714286,182,2.275
48,com.google.javascript.jscomp.CompilerInput,30,11,109,2,15,5,1,2,16,11.733333333333333,366,4.305882352941176
49,com.google.javascript.jscomp.ConvertToDottedProperties,2,1,18,1,13,2,0,0,2,6.0,117,8.357142857142858
50,com.google.javascript.jscomp.FieldCleanupPass,5,3,26,1,9,3,0,1,4,10.2,356,23.733333333333334
51,com.google.javascript.jscomp.DiagnosticGroup,6,4,13,1,6,2,0,2,12,7.833333333333333,219,15.642857142857142
52,com.google.javascript.jscomp.SymbolTable,96,28,572,1,39,12,0,9,53,14.96875,1548,3.1272727272727274
53,com.google.javascript.jscomp.PrepareAst,10,2,69,1,14,4,0,1,8,17.2,282,4.476190476190476
54,com.google.javascript.jscomp.ControlStructureCheck,4,2,17,1,9,2,0,0,3,7.75,112,9.333333333333334
55,com.google.javascript.jscomp.ClosureRewriteClass,16,16,183,1,39,10,0,6,5,16.25,148,1.1297709923664123
56,com.google.javascript.jscomp.ReplaceMessagesForChrome,4,0,42,0,18,5,1,2,2,19.25,145,4.67741935483871
57,com.google.javascript.jscomp.ProcessDefines,18,23,129,1,41,11,0,2,22,15.38888888888889,569,4.552
58,com.google.javascript.jscomp.PreprocessorSymbolTable,9,3,22,2,5,1,0,1,3,11.222222222222221,117,9.0
59,com.google.javascript.jscomp.MarkNoSideEffectCalls,5,5,44,1,26,9,0,3,6,15.4,195,3.9
60,com.google.javascript.jscomp.PrintStreamErrorManager,3,3,16,0,7,2,0,0,4,13.333333333333334,178,19.77777777777778
61,com.google.javascript.jscomp.CodePrinter,39,25,126,0,20,4,0,6,28,12.974358974358974,682,3.6470588235294117
62,com.google.javascript.jscomp.TypeCheck,39,50,692,2,182,20,0,6,33,15.794871794871796,1150,1.84
63,com.google.javascript.jscomp.PeepholeFoldWithTypes,2,0,23,0,30,9,0,2,3,14.0,237,7.181818181818182
64,com.google.javascript.jscomp.PassConfig,23,15,59,0,18,5,0,1,22,16.869565217391305,427,8.714285714285714
65,com.google.javascript.jscomp.AbstractPeepholeOptimization,13,1,35,0,10,3,0,1,16,17.076923076923077,428,17.833333333333332
66,com.google.javascript.jscomp.RenamePrototypes,15,14,120,1,32,8,0,5,16,15.8,563,4.265151515151516
67,com.google.javascript.jscomp.RhinoErrorReporter,13,8,33,0,6,2,0,2,3,9.384615384615385,147,5.444444444444445
68,com.google.javascript.jscomp.NameReferenceGraph,33,17,71,1,13,4,0,3,11,12.878787878787879,475,6.884057971014493
69,com.google.javascript.jscomp.UnreachableCodeElimination,8,4,68,2,25,6,0,5,4,14.0,383,5.319444444444445
70,com.google.javascript.jscomp.ReplaceCssNames,4,10,65,1,31,8,0,3,3,11.5,332,5.533333333333333
71,com.google.javascript.jscomp.ObjectPropertyStringPostprocess,2,1,27,1,20,4,0,2,2,6.0,144,6.857142857142857
72,com.google.javascript.jscomp.DefinitionSite,0,5,0,0,0,0,0,0,2,0.0,116,0.0
73,com.google.javascript.jscomp.GroupVariableDeclarations,6,1,45,2,32,8,0,2,3,10.5,332,7.377777777777778
74,com.google.javascript.jscomp.Strings,3,0,14,0,7,2,0,3,5,22.333333333333332,533,38.07142857142857
75,com.google.javascript.jscomp.CheckRequiresForConstructors,9,7,78,1,31,6,0,3,4,12.333333333333334,164,2.523076923076923
76,com.google.javascript.jscomp.MemoizedScopeCreator,7,2,25,2,7,2,0,1,4,14.857142857142858,187,9.35
77,com.google.javascript.jscomp.GatherRawExports,4,3,19,1,11,4,0,3,2,13.5,117,6.157894736842105
78,com.google.javascript.jscomp.ExpressionDecomposer,26,8,238,0,33,10,0,4,28,19.0,1066,4.9581395348837205
79,com.google.javascript.jscomp.JSModuleGraph,18,6,129,0,39,12,2,3,21,17.0,799,6.007518796992481
80,com.google.javascript.jscomp.InlineFunctions,74,31,365,1,34,11,0,4,34,15.27027027027027,641,1.8964497041420119
81,com.google.javascript.jscomp.ShadowVariables,7,7,71,1,26,9,0,4,4,8.285714285714286,207,2.524390243902439
82,com.google.javascript.jscomp.GlobalNamespace,69,39,265,2,83,15,0,8,43,13.115942028985508,1523,3.7146341463414636
83,com.google.javascript.jscomp.ClosureOptimizePrimitives,4,2,36,1,17,4,0,3,7,14.75,172,4.914285714285715
84,com.google.javascript.jscomp.FunctionTypeBuilder,48,38,258,0,45,14,0,5,28,17.4375,764,2.3875
85,com.google.javascript.jscomp.DotFormatter,12,8,100,0,26,5,1,2,9,9.5,331,3.7613636363636362
86,com.google.javascript.jscomp.CrossModuleCodeMotion,11,11,120,1,29,8,0,10,14,13.727272727272727,342,2.6106870229007635
87,com.google.javascript.jscomp.JSSourceFile,10,2,20,1,1,0,1,1,2,10.6,128,12.8
88,com.google.javascript.jscomp.ComposeWarningsGuard,9,8,35,0,12,4,0,3,4,9.666666666666666,188,3.418181818181818
89,com.google.javascript.jscomp.VariableReferenceCheck,4,6,47,1,47,16,0,0,4,10.5,205,3.9423076923076925
90,com.google.javascript.jscomp.ReplaceMessages,8,3,106,0,20,6,1,4,8,19.0,524,5.758241758241758
91,com.google.javascript.jscomp.CleanupPasses,9,5,25,0,10,4,0,1,3,11.444444444444445,148,7.4
92,com.google.javascript.jscomp.InlineVariables,26,8,267,1,35,10,0,7,26,17.46153846153846,602,2.6995515695067263
93,com.google.javascript.jscomp.ProcessCommonJSModules,13,12,123,1,14,4,0,1,12,14.23076923076923,304,4.108108108108108
94,com.google.javascript.jscomp.SanityCheck,5,4,34,1,12,3,0,2,5,17.0,183,6.1
95,com.google.javascript.jscomp.SuppressDocWarningsGuard,2,2,12,0,25,10,0,2,4,8.0,123,4.730769230769231
96,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,50,10,680,0,94,20,0,19,42,19.24,1122,1.6524300441826214
97,com.google.javascript.jscomp.AstChangeProxy,7,1,30,0,19,4,0,1,10,13.285714285714286,166,6.148148148148148
98,com.google.javascript.jscomp.DiagnosticGroupWarningsGuard,4,3,10,0,8,3,0,2,2,7.0,105,9.545454545454545
99,com.google.javascript.jscomp.JqueryCodingConvention,3,3,12,0,2,0,0,1,2,17.666666666666668,100,20.0
100,com.google.javascript.jscomp.InferJSDocInfo,5,2,60,1,39,12,0,4,10,15.8,284,4.303030303030303
101,com.google.javascript.jscomp.SpecializeModule,28,14,143,1,16,4,0,5,33,21.607142857142858,1562,11.656716417910447
102,com.google.javascript.jscomp.SideEffectsAnalysis,44,21,141,1,20,6,0,9,45,15.590909090909092,1602,9.709090909090909
103,com.google.javascript.jscomp.AmbiguateProperties,28,23,185,1,30,8,0,3,28,12.25,637,3.6193181818181817
104,com.google.javascript.jscomp.SourceFile,46,15,108,2,29,7,1,5,23,11.76086956521739,565,4.52
105,com.google.javascript.jscomp.LineNumberCheck,4,3,12,2,8,3,0,1,2,10.25,118,7.375
106,com.google.javascript.jscomp.OptimizeCalls,3,2,7,1,6,2,0,1,2,7.0,128,16.0
107,com.google.javascript.jscomp.CrossModuleMethodMotion,4,10,54,1,33,10,0,1,7,10.25,180,4.615384615384615
108,com.google.javascript.jscomp.Compiler,172,67,903,0,71,18,1,6,104,14.029069767441861,1723,1.8707926167209554
109,com.google.javascript.jscomp.NodeNameExtractor,1,2,28,0,24,4,0,11,3,7.0,193,8.041666666666666
110,com.google.javascript.jscomp.TypedCodeGenerator,5,0,109,0,55,15,0,6,7,16.4,375,3.826530612244898
111,com.google.javascript.jscomp.TypeInferencePass,8,6,28,1,5,0,0,1,5,8.875,147,10.5
112,com.google.javascript.jscomp.SyntheticAst,5,4,8,1,3,0,0,1,2,10.8,105,15.0
113,com.google.javascript.jscomp.CombinedCompilerPass,12,5,30,2,6,2,0,1,9,12.583333333333334,380,10.555555555555555
114,com.google.javascript.jscomp.RuntimeTypeCheck,16,4,147,1,21,5,0,5,8,13.5,435,3.9545454545454546
115,com.google.javascript.jscomp.VariableMap,14,3,62,0,11,3,1,2,14,11.571428571428571,252,4.344827586206897
116,com.google.javascript.jscomp.MustBeReachingVariableDef,16,7,135,0,53,13,0,8,9,12.5,408,2.7567567567567566
117,com.google.javascript.jscomp.StripCode,20,8,149,1,27,6,0,5,22,25.05,1042,6.72258064516129
118,com.google.javascript.jscomp.TransformAMDToCJSModule,11,8,124,1,36,9,0,6,11,15.363636363636363,260,2.5742574257425743
119,com.google.javascript.jscomp.PeepholeCollectPropertyAssignments,9,0,105,0,29,9,0,7,2,17.555555555555557,135,1.0227272727272727
120,com.google.javascript.jscomp.CheckProvides,5,7,35,1,15,5,0,0,2,11.4,100,2.5641025641025643
121,com.google.javascript.jscomp.ScopedAliases,21,24,168,1,40,14,0,2,5,12.904761904761905,174,1.1153846153846154
122,com.google.javascript.jscomp.JsMessage,44,22,100,0,70,4,0,3,39,8.977272727272727,971,4.783251231527093
123,com.google.javascript.jscomp.ConcreteType,79,21,276,1,22,5,0,6,70,11.746835443037975,1222,5.3130434782608695
124,com.google.javascript.jscomp.GatherSideEffectSubexpressionsCallback,16,5,108,1,25,7,0,7,16,22.5625,466,5.065217391304348
125,com.google.javascript.jscomp.NodeIterators,12,5,62,0,32,10,0,5,12,8.416666666666666,322,4.735294117647059
126,com.google.javascript.jscomp.PureFunctionIdentifier,44,24,332,1,50,15,0,7,38,15.227272727272727,744,1.7927710843373494
127,com.google.javascript.jscomp.CallGraph,39,19,156,1,23,7,0,3,44,18.512820512820515,1470,6.681818181818182
128,com.google.javascript.jscomp.LoggerErrorManager,2,2,18,0,7,2,0,0,4,9.5,137,10.538461538461538
129,com.google.javascript.jscomp.CheckAccessControls,24,20,253,2,37,13,0,5,20,19.041666666666668,580,2.5
130,com.google.javascript.jscomp.NameAnalyzer,63,37,571,1,63,14,0,9,89,14.238095238095237,2126,3.3961661341853033
131,com.google.javascript.jscomp.PerformanceTracker,14,23,116,0,64,6,0,2,8,13.0,162,1.132867132867133
132,com.google.javascript.jscomp.SimpleFunctionAliasAnalysis,4,2,31,0,12,4,0,1,6,14.5,201,6.931034482758621
133,com.google.javascript.jscomp.CheckMissingGetCssName,6,6,38,1,14,5,0,4,5,14.833333333333334,168,5.6
134,com.google.javascript.jscomp.ErrorPass,1,2,2,1,1,0,0,0,2,7.0,100,100.0
135,com.google.javascript.jscomp.SourceInformationAnnotator,2,2,21,0,18,4,0,0,2,10.0,162,7.714285714285714
136,com.google.javascript.jscomp.MoveFunctionDeclarations,3,2,21,2,12,3,0,1,2,8.666666666666666,158,8.31578947368421
137,com.google.javascript.jscomp.StrictWarningsGuard,2,2,5,0,4,1,0,2,2,8.0,105,21.0
138,com.google.javascript.jscomp.NameReferenceGraphConstruction,27,8,246,1,44,12,0,6,14,18.666666666666668,301,1.2285714285714286
139,com.google.javascript.jscomp.ExportTestFunctions,6,4,56,1,22,9,0,2,5,16.833333333333332,231,6.078947368421052
140,com.google.javascript.jscomp.AstValidator,66,1,450,1,38,3,0,18,2,17.227272727272727,110,0.270935960591133
